Step 14300: Accuracy(0.443466663857), Loss(0.008651524918)
Step 14400: Accuracy(0.45604999726), Loss(0.00853786731449)
Step 14500: Accuracy(0.45239999637), Loss(0.00863357121047)
Step 14600: Accuracy(0.449383331339), Loss(0.00859449803829)
Step 14700: Accuracy(0.453199997395), Loss(0.0086163209433)
Step 14800: Accuracy(0.451833330691), Loss(0.00855999345426)
Step 14900: Accuracy(0.439116663982), Loss(0.00883958417534)
Step 15000: Accuracy(0.450716663251), Loss(0.00851235432473)
Step 15100: Accuracy(0.452366663963), Loss(0.00856711180958)
Step 15200: Accuracy(0.453849997967), Loss(0.00862923389999)
Step 15300: Accuracy(0.452283331404), Loss(0.00871365877256)
Step 15400: Accuracy(0.453466663609), Loss(0.00850649984398)
Step 15500: Accuracy(0.452233330806), Loss(0.00853003414736)
Step 15600: Accuracy(0.454483330697), Loss(0.0085145223684)
Step 15700: Accuracy(0.453249997894), Loss(0.00857529776016)
Step 15800: Accuracy(0.455083330423), Loss(0.00848478186643)
Step 15900: Accuracy(0.363150000672), Loss(0.0104338090696)
Step 16000: Accuracy(0.380133333306), Loss(0.0100840804835)
Step 16100: Accuracy(0.444433331043), Loss(0.00860719951413)
Step 16200: Accuracy(0.450533331384), Loss(0.00859369876562)
Step 16300: Accuracy(0.454166664332), Loss(0.00855251109693)
Step 16400: Accuracy(0.456733331084), Loss(0.00856405845455)
Step 16500: Accuracy(0.450216664523), Loss(0.00859445411324)
Step 16600: Accuracy(0.458299997052), Loss(0.00841945631507)
Step 16700: Accuracy(0.458366663754), Loss(0.00850125717775)
Step 16800: Accuracy(0.453666664362), Loss(0.00846379737758)
Step 16900: Accuracy(0.458199997395), Loss(0.00849092282743)
Step 17000: Accuracy(0.453516663959), Loss(0.00851881210847)
Step 17100: Accuracy(0.455249997477), Loss(0.00848978486378)
Step 17200: Accuracy(0.455349997928), Loss(0.00849207104494)
Step 17300: Accuracy(0.457016664694), Loss(0.00856597615561)
Step 17400: Accuracy(0.453466664553), Loss(0.00852945665674)
Step 17500: Accuracy(0.459383330395), Loss(0.00851940055688)
Step 17600: Accuracy(0.449333331287), Loss(0.00877985356453)
Step 17700: Accuracy(0.455916663905), Loss(0.00853434826868)
Step 17800: Accuracy(0.454849996914), Loss(0.00844646340236)
Step 17900: Accuracy(0.451433331221), Loss(0.00849287806467)
Step 18000: Accuracy(0.454349998037), Loss(0.0085176814169)
Step 18100: Accuracy(0.459749997705), Loss(0.00845280091822)
Step 18200: Accuracy(0.457666664769), Loss(0.00852912897477)
Step 18300: Accuracy(0.460016664167), Loss(0.00845876409362)
Step 18400: Accuracy(0.454616663605), Loss(0.00845555368733)
Step 18500: Accuracy(0.454049997578), Loss(0.00841311405335)
Step 18600: Accuracy(0.4620999976), Loss(0.0083578275796)
Step 18700: Accuracy(0.457933330834), Loss(0.00851245483151)
Step 18800: Accuracy(0.455233330776), Loss(0.00846967872543)
Step 18900: Accuracy(0.457349996865), Loss(0.00851001020599)
Step 19000: Accuracy(0.450599997193), Loss(0.00848600461613)
Step 19100: Accuracy(0.45608333081), Loss(0.00848646551293)
Step 19200: Accuracy(0.457549998164), Loss(0.0083938820404)
Step 19300: Accuracy(0.452583331366), Loss(0.0084914534376)
Step 19400: Accuracy(0.459383330892), Loss(0.00838616013837)
Step 19500: Accuracy(0.461599996438), Loss(0.00840805880648)
Step 19600: Accuracy(0.456833330592), Loss(0.00841582000644)
Step 19700: Accuracy(0.454983329773), Loss(0.00845993392946)
Step 19800: Accuracy(0.453883330822), Loss(0.00861765876102)
Step 19900: Accuracy(0.452449997614), Loss(0.00846300825632)
Step 20000: Accuracy(0.461283330073), Loss(0.00847313893028)
Step 20100: Accuracy(0.461283330868), Loss(0.00847313889535)
Step 20200: Accuracy(0.46394999668), Loss(0.00835278760875)
Step 20300: Accuracy(0.462899996787), Loss(0.00835144410608)
Step 20400: Accuracy(0.466483330131), Loss(0.00825037288091)
Step 20500: Accuracy(0.466733330389), Loss(0.00825457981244)
Step 20600: Accuracy(0.466433330377), Loss(0.00835272211271)
Step 20700: Accuracy(0.467866664231), Loss(0.00829379136441)
Step 20800: Accuracy(0.465833329111), Loss(0.00827016520003)
Step 20900: Accuracy(0.467316663365), Loss(0.00826185206727)
Step 21000: Accuracy(0.470166663875), Loss(0.00824692543984)
Step 21100: Accuracy(0.469583330105), Loss(0.00821882346567)
Step 21200: Accuracy(0.466183330069), Loss(0.00835689221974)
Step 21300: Accuracy(0.461733331184), Loss(0.00836562198509)
Step 21400: Accuracy(0.466199997614), Loss(0.00824700479008)
Step 21500: Accuracy(0.46719999661), Loss(0.00825853194809)
Step 21600: Accuracy(0.470216663778), Loss(0.00830720457016)
Step 21700: Accuracy(0.466749997238), Loss(0.00831690762502)
Step 21800: Accuracy(0.468766664167), Loss(0.00826151024085)
Step 21900: Accuracy(0.472099997153), Loss(0.00819032610161)
Step 22000: Accuracy(0.471599996438), Loss(0.00821300281057)
Step 22100: Accuracy(0.469616664251), Loss(0.00819282603295)
Step 22200: Accuracy(0.467899997483), Loss(0.00823527306163)
Step 22300: Accuracy(0.46958333085), Loss(0.00825148561271)
Step 22400: Accuracy(0.470566663543), Loss(0.00834975579986)
Step 22500: Accuracy(0.464933330566), Loss(0.00826896655063)
Step 22600: Accuracy(0.468416663955), Loss(0.00827849540161)
Step 22700: Accuracy(0.463816663474), Loss(0.00824551350592)
Step 22800: Accuracy(0.472449997067), Loss(0.00830644596679)
Step 22900: Accuracy(0.468766664515), Loss(0.00831930246204)
Step 23000: Accuracy(0.470699997048), Loss(0.00828146396282)
Step 23100: Accuracy(0.466116664062), Loss(0.00821750962486)
Step 23200: Accuracy(0.468583330164), Loss(0.00822107004079)
Step 23300: Accuracy(0.467233330309), Loss(0.00824393722617)
Step 23400: Accuracy(0.468816663673), Loss(0.00824694892624)
Step 23500: Accuracy(0.467949997733), Loss(0.00821979104852)
Step 23600: Accuracy(0.470616664191), Loss(0.00821411042785)
Step 23700: Accuracy(0.471566663682), Loss(0.00820139495966)
Step 23800: Accuracy(0.467766664575), Loss(0.00822721876825)
Step 23900: Accuracy(0.467499997417), Loss(0.0082480446971)
Step 24000: Accuracy(0.465249997526), Loss(0.00824547516803)
Step 24100: Accuracy(0.470433330437), Loss(0.00821523579148)
Step 24200: Accuracy(0.468283330103), Loss(0.00825793250386)
Step 24300: Accuracy(0.467116663605), Loss(0.00822261783372)
Step 24400: Accuracy(0.476449998518), Loss(0.00815570159815)
Step 24500: Accuracy(0.472999996593), Loss(0.00821739706599)
Step 24600: Accuracy(0.470933330854), Loss(0.00818091416654)
Step 24700: Accuracy(0.470716663202), Loss(0.00835211705106)
Step 24800: Accuracy(0.46886666442), Loss(0.00821832616736)
Step 24900: Accuracy(0.468616663814), Loss(0.00825293823611)
Step 25000: Accuracy(0.470433330039), Loss(0.00819429733946)
Step 25100: Accuracy(0.471599997332), Loss(0.00818275795163)
Step 25200: Accuracy(0.470999997308), Loss(0.00824537267443)
Step 25300: Accuracy(0.474433330844), Loss(0.00823302039178)
Step 25400: Accuracy(0.47296666349), Loss(0.00826399154185)
Step 25500: Accuracy(0.469483331045), Loss(0.00824263429657)
Step 25600: Accuracy(0.471849997193), Loss(0.00818299579356)
Step 25700: Accuracy(0.471983330548), Loss(0.00820628330267)
Step 25800: Accuracy(0.467999996493), Loss(0.0082371941302)
Step 25900: Accuracy(0.468999996831), Loss(0.00821228114966)
Step 26000: Accuracy(0.468883329878), Loss(0.00823472471985)
Step 26100: Accuracy(0.471683330089), Loss(0.0081876192467)
Step 26200: Accuracy(0.474616663704), Loss(0.00821984576605)
Step 26300: Accuracy(0.468899997026), Loss(0.00818816777008)
Step 26400: Accuracy(0.470966663112), Loss(0.00820553516193)
