Step 22300: Accuracy(0.469599996805), Loss(0.00825144029455)
Step 22400: Accuracy(0.468633330017), Loss(0.00823726915522)
Step 22500: Accuracy(0.468549997211), Loss(0.00828485563397)
Step 22600: Accuracy(0.466166663915), Loss(0.00831327779219)
Step 22700: Accuracy(0.470349997878), Loss(0.00827979626522)
Step 22800: Accuracy(0.471333330373), Loss(0.00827274291155)
Step 22900: Accuracy(0.468766664217), Loss(0.00830091634455)
Step 23000: Accuracy(0.468983330031), Loss(0.0083560308977)
Step 23100: Accuracy(0.46893332998), Loss(0.00840448786815)
Step 23200: Accuracy(0.461516663581), Loss(0.00837709177673)
Step 23300: Accuracy(0.465249997675), Loss(0.00830017300167)
Step 23400: Accuracy(0.466133330713), Loss(0.0083793064882)
Step 23500: Accuracy(0.460683330695), Loss(0.00839505715218)
Step 23600: Accuracy(0.462183330854), Loss(0.00840377001557)
Step 23700: Accuracy(0.471199997018), Loss(0.00842444316406)
Step 23800: Accuracy(0.463299997499), Loss(0.0083289352525)
Step 23900: Accuracy(0.471099997163), Loss(0.00824678767007)
Step 24000: Accuracy(0.468933331023), Loss(0.00832653808019)
Step 24100: Accuracy(0.464833330711), Loss(0.0083603091732)
Step 24200: Accuracy(0.471416664372), Loss(0.00828358016598)
Step 24300: Accuracy(0.465849997451), Loss(0.00836520724464)
Step 24400: Accuracy(0.466099996765), Loss(0.00829927597738)
Step 24500: Accuracy(0.470866664102), Loss(0.00825746679291)
Step 24600: Accuracy(0.465399997483), Loss(0.0083119171788)
Step 24700: Accuracy(0.465483330141), Loss(0.00857677190177)
Step 24800: Accuracy(0.468133330494), Loss(0.00836843860879)
Step 24900: Accuracy(0.476999997397), Loss(0.00823346499121)
Step 25000: Accuracy(0.46758333082), Loss(0.00837915185528)
Step 25100: Accuracy(0.34703333502), Loss(0.0110594648309)
Step 25200: Accuracy(0.384999999454), Loss(0.00991715850309)
Step 25300: Accuracy(0.446466664672), Loss(0.00959107140778)
Step 25400: Accuracy(0.453333331198), Loss(0.00879892664418)
Step 25500: Accuracy(0.457466663371), Loss(0.00873600831488)
Step 25600: Accuracy(0.460366663734), Loss(0.0085760733167)
Step 25700: Accuracy(0.458816663524), Loss(0.00883156418956)
Step 25800: Accuracy(0.461066663067), Loss(0.00849322026363)
Step 25900: Accuracy(0.468049997489), Loss(0.00842090237575)
Step 26000: Accuracy(0.463133330146), Loss(0.00844455754152)
Step 26100: Accuracy(0.466033330311), Loss(0.00858795579756)
Step 26200: Accuracy(0.462749997427), Loss(0.00841293492587)
Step 26300: Accuracy(0.465399996936), Loss(0.00855015380851)
Step 26400: Accuracy(0.461449997872), Loss(0.00835944936611)
Step 26500: Accuracy(0.470983330359), Loss(0.00831672096392)
Step 26600: Accuracy(0.463866664022), Loss(0.00841431139037)
Step 26700: Accuracy(0.467633330872), Loss(0.00835393137376)
Step 26800: Accuracy(0.469149997582), Loss(0.00834608743355)
Step 26900: Accuracy(0.388333332986), Loss(0.0100050674581)
Step 27000: Accuracy(0.463616663665), Loss(0.00898015586659)
Step 27100: Accuracy(0.417583331515), Loss(0.00902418433145)
Step 27200: Accuracy(0.465699996402), Loss(0.00860524042742)
Step 27300: Accuracy(0.467116663555), Loss(0.00845362207231)
Step 27400: Accuracy(0.468266663725), Loss(0.00842980660731)
Step 27500: Accuracy(0.471766663939), Loss(0.00842941409675)
Step 27600: Accuracy(0.4731833299), Loss(0.00829381198157)
Step 27700: Accuracy(0.469399996698), Loss(0.00860720827399)
Step 27800: Accuracy(0.470149996231), Loss(0.00838034030749)
Step 27900: Accuracy(0.465916663806), Loss(0.008398104584)
Step 28000: Accuracy(0.465666663994), Loss(0.00837552418156)
Step 28100: Accuracy(0.46864999796), Loss(0.00834566196504)
Step 28200: Accuracy(0.471683331182), Loss(0.00827782953701)
Step 28300: Accuracy(0.470383330037), Loss(0.00833733008243)
Step 28400: Accuracy(0.473833330174), Loss(0.00823570743669)
Step 28500: Accuracy(0.473116663645), Loss(0.00827987196778)
Step 28600: Accuracy(0.470666663349), Loss(0.00823440504881)
Step 28700: Accuracy(0.468749997417), Loss(0.00830650003472)
Step 28800: Accuracy(0.469999997318), Loss(0.0083005439785)
Step 28900: Accuracy(0.472416662872), Loss(0.00827067510923)
Step 29000: Accuracy(0.470599997193), Loss(0.00836661370704)
Step 29100: Accuracy(0.472199997306), Loss(0.00841603412603)
Step 29200: Accuracy(0.469133330484), Loss(0.00828160344468)
Step 29300: Accuracy(0.47314999645), Loss(0.00824545945584)
Step 29400: Accuracy(0.46493332997), Loss(0.00836041216661)
Step 29500: Accuracy(0.468099997044), Loss(0.00832766523895)
Step 29600: Accuracy(0.467466664165), Loss(0.00828160096348)
Step 29700: Accuracy(0.470516664535), Loss(0.0082434866104)
Step 29800: Accuracy(0.461249996821), Loss(0.00840313251596)
Step 29900: Accuracy(0.462833330631), Loss(0.00836476603212)
Step 30000: Accuracy(0.475666663448), Loss(0.00819248820577)
Step 30100: Accuracy(0.468916663925), Loss(0.0082640598497)
Step 30200: Accuracy(0.464733330905), Loss(0.00834037974166)
Step 30300: Accuracy(0.474033330828), Loss(0.00833105641029)
Step 30400: Accuracy(0.469099997332), Loss(0.0083275428197)
Step 30500: Accuracy(0.468183330347), Loss(0.0082597777814)
