Step 15200: Accuracy(0.534566662858), Loss(0.00719596249517)
Step 15300: Accuracy(0.536066664358), Loss(0.0072343938658)
Step 15400: Accuracy(0.537499998162), Loss(0.00717363990766)
Step 15500: Accuracy(0.534166663984), Loss(0.00723693664729)
Step 15600: Accuracy(0.530549996843), Loss(0.00736614398115)
Step 15700: Accuracy(0.536683331231), Loss(0.00724012245967)
Step 15800: Accuracy(0.53789999783), Loss(0.00723362538653)
Step 15900: Accuracy(0.537766662786), Loss(0.0072428233875)
Step 16000: Accuracy(0.539366663645), Loss(0.00729998021852)
Step 16100: Accuracy(0.536199996819), Loss(0.00727519060563)
Step 16200: Accuracy(0.533366663456), Loss(0.00724997578111)
Step 16300: Accuracy(0.539349996448), Loss(0.00714192388346)
Step 16400: Accuracy(0.538749995679), Loss(0.00721849670013)
Step 16500: Accuracy(0.540499996593), Loss(0.00717998136301)
Step 16600: Accuracy(0.535333330681), Loss(0.00728113113049)
Step 16700: Accuracy(0.539883330017), Loss(0.00715255991478)
Step 16800: Accuracy(0.538583329519), Loss(0.00714784468835)
Step 16900: Accuracy(0.535199995289), Loss(0.00739735514158)
Step 17000: Accuracy(0.543349996805), Loss(0.00712874785609)
Step 17100: Accuracy(0.53894999668), Loss(0.00720997914284)
Step 17200: Accuracy(0.537266663363), Loss(0.00711121288206)
Step 17300: Accuracy(0.537666662435), Loss(0.00725958240374)
Step 17400: Accuracy(0.540416664282), Loss(0.00720630448079)
Step 17500: Accuracy(0.539299997538), Loss(0.00714925298002)
Step 17600: Accuracy(0.543266663452), Loss(0.00712341365948)
Step 17700: Accuracy(0.540549998184), Loss(0.00711136531085)
Step 17800: Accuracy(0.53866666317), Loss(0.00712694488311)
Step 17900: Accuracy(0.538683329672), Loss(0.00722474465535)
Step 18000: Accuracy(0.53853333046), Loss(0.0071997014697)
Step 18100: Accuracy(0.536016664505), Loss(0.00720235938827)
Step 18200: Accuracy(0.539683331003), Loss(0.00717430389641)
Step 18300: Accuracy(0.542349997262), Loss(0.00710173315912)
Step 18400: Accuracy(0.542083330701), Loss(0.00716245894553)
Step 18500: Accuracy(0.539033329537), Loss(0.00737210906654)
Step 18600: Accuracy(0.537749997675), Loss(0.00712759744066)
Step 18700: Accuracy(0.53896666343), Loss(0.00718455025461)
Step 18800: Accuracy(0.539049997032), Loss(0.00713036004532)
Step 18900: Accuracy(0.536549996287), Loss(0.00736779973997)
Step 19000: Accuracy(0.539633329958), Loss(0.00712318459448)
Step 19100: Accuracy(0.538766664068), Loss(0.00718358929812)
Step 19200: Accuracy(0.539649997056), Loss(0.00718040037667)
Step 19300: Accuracy(0.540533331037), Loss(0.00717234679187)
Step 19400: Accuracy(0.535716663152), Loss(0.00716370309393)
Step 19500: Accuracy(0.539166663984), Loss(0.0070843787794)
Step 19600: Accuracy(0.53998333017), Loss(0.0071447553602)
Step 19700: Accuracy(0.535733330399), Loss(0.00719478098443)
Step 19800: Accuracy(0.540316664477), Loss(0.00710939004396)
Step 19900: Accuracy(0.541949997892), Loss(0.00735241370664)
Step 20000: Accuracy(0.53881666407), Loss(0.00711246014495)
Step 20100: Accuracy(0.544183330337), Loss(0.00711531038862)
Step 20200: Accuracy(0.538366663257), Loss(0.0072405870026)
Step 20300: Accuracy(0.541616663386), Loss(0.00727851653549)
Step 20400: Accuracy(0.538749997765), Loss(0.00713385727955)
Step 20500: Accuracy(0.542199995716), Loss(0.00718131456214)
Step 20600: Accuracy(0.538249996702), Loss(0.00714380890985)
Step 20700: Accuracy(0.536249997367), Loss(0.00719445716357)
Step 20800: Accuracy(0.541466662536), Loss(0.00709727080461)
Step 20900: Accuracy(0.542716664871), Loss(0.00715112151733)
Step 21000: Accuracy(0.537033329507), Loss(0.00719165172583)
Step 21100: Accuracy(0.539016663432), Loss(0.00717797938812)
Step 21200: Accuracy(0.537483330667), Loss(0.00729419391292)
Step 21300: Accuracy(0.546849996398), Loss(0.00708012904894)
Step 21400: Accuracy(0.542383329223), Loss(0.00709527515961)
Step 21500: Accuracy(0.543483330558), Loss(0.00708600782789)
Step 21600: Accuracy(0.541866664092), Loss(0.00713737713483)
Step 21700: Accuracy(0.537633332362), Loss(0.00721754395713)
Step 21800: Accuracy(0.541849996795), Loss(0.00709904726672)
Step 21900: Accuracy(0.539766663065), Loss(0.00717547103995)
Step 22000: Accuracy(0.539866663963), Loss(0.00714445786085)
Step 22100: Accuracy(0.544733330359), Loss(0.00706687151066)
Step 22200: Accuracy(0.540283330878), Loss(0.0071453792043)
Step 22300: Accuracy(0.538316663901), Loss(0.00718973355135)
Step 22400: Accuracy(0.543116662453), Loss(0.00711761088421)
Step 22500: Accuracy(0.543299997648), Loss(0.00708664788166)
Step 22600: Accuracy(0.5394666634), Loss(0.00723183240353)
Step 22700: Accuracy(0.53969999671), Loss(0.00716052719159)
Step 22800: Accuracy(0.539183331331), Loss(0.00722928526268)
Step 22900: Accuracy(0.540949996412), Loss(0.00720170405771)
Step 23000: Accuracy(0.540683329801), Loss(0.00731975569312)
Step 23100: Accuracy(0.540599997193), Loss(0.00745406033626)
Step 23200: Accuracy(0.541433330923), Loss(0.00713404155569)
Step 23300: Accuracy(0.543666664312), Loss(0.00758024337236)
Step 23400: Accuracy(0.540949997505), Loss(0.00709683129331)
Step 23500: Accuracy(0.53911666284), Loss(0.00725310526711)
Step 23600: Accuracy(0.538116663794), Loss(0.00725601073354)
Step 23700: Accuracy(0.540533329745), Loss(0.00722611700417)
Step 23800: Accuracy(0.54344999671), Loss(0.00709776596399)
Step 23900: Accuracy(0.542033329805), Loss(0.00719804019124)
Step 24000: Accuracy(0.54364999637), Loss(0.00711129169135)
Step 24100: Accuracy(0.539966663222), Loss(0.00709765954952)
Step 24200: Accuracy(0.545633330693), Loss(0.00714322342305)
Step 24300: Accuracy(0.543816663474), Loss(0.00707682750809)
Step 24400: Accuracy(0.543616664112), Loss(0.00718034383918)
Step 24500: Accuracy(0.544399997642), Loss(0.00717292817309)
Step 24600: Accuracy(0.543883330226), Loss(0.00716110473343)
Step 24700: Accuracy(0.541383330524), Loss(0.00716794176803)
Step 24800: Accuracy(0.539016663531), Loss(0.00720377904829)
Step 24900: Accuracy(0.538649996916), Loss(0.00716913140301)
Step 25000: Accuracy(0.539349996299), Loss(0.00711771517449)
Step 25100: Accuracy(0.540916663408), Loss(0.00709168633989)
Step 25200: Accuracy(0.540399997185), Loss(0.00724712076985)
Step 25300: Accuracy(0.540483329991), Loss(0.00723047141917)
