Step 13100: Accuracy(0.5144499967), Loss(0.00761751643615)
Step 13200: Accuracy(0.512216662566), Loss(0.00765171587079)
Step 13300: Accuracy(0.512766663631), Loss(0.00758480715488)
Step 13400: Accuracy(0.511883330594), Loss(0.0076074522431)
Step 13500: Accuracy(0.510599996845), Loss(0.00765679954706)
Step 13600: Accuracy(0.513566662272), Loss(0.0076746679175)
Step 13700: Accuracy(0.513499998599), Loss(0.00763289569644)
Step 13800: Accuracy(0.506316662927), Loss(0.00800574251683)
Step 13900: Accuracy(0.506583331227), Loss(0.00772705355582)
Step 14000: Accuracy(0.513749996672), Loss(0.00757659688359)
Step 14100: Accuracy(0.509683330407), Loss(0.00775376774215)
Step 14200: Accuracy(0.515549996446), Loss(0.00765424686251)
Step 14300: Accuracy(0.504733331005), Loss(0.00779604709242)
Step 14400: Accuracy(0.514866663367), Loss(0.00752876195358)
Step 14500: Accuracy(0.506533330828), Loss(0.00769566823418)
Step 14600: Accuracy(0.520616664092), Loss(0.00749766346378)
Step 14700: Accuracy(0.51854999577), Loss(0.00758984708926)
Step 14800: Accuracy(0.517383329868), Loss(0.00757662675033)
Step 14900: Accuracy(0.522483330021), Loss(0.00750962270113)
Step 15000: Accuracy(0.510849996607), Loss(0.00779584236909)
Step 15100: Accuracy(0.516883330097), Loss(0.00753918974583)
Step 15200: Accuracy(0.511166663667), Loss(0.00763459673151)
Step 15300: Accuracy(0.519149996638), Loss(0.00746310884288)
Step 15400: Accuracy(0.519333331138), Loss(0.00754622532365)
Step 15500: Accuracy(0.509299995999), Loss(0.00764127355379)
Step 15600: Accuracy(0.520316661894), Loss(0.00754771178278)
Step 15700: Accuracy(0.517583330125), Loss(0.00753302832988)
Step 15800: Accuracy(0.520549996595), Loss(0.00763082520027)
Step 15900: Accuracy(0.518149996748), Loss(0.00755488351143)
Step 16000: Accuracy(0.510633331488), Loss(0.00758826433836)
Step 16100: Accuracy(0.523233329356), Loss(0.00753931701339)
Step 16200: Accuracy(0.518566663265), Loss(0.00756789043468)
Step 16300: Accuracy(0.516216663321), Loss(0.0076399090079)
Step 16400: Accuracy(0.523266663849), Loss(0.00746989931756)
Step 16500: Accuracy(0.520649996201), Loss(0.00755504825929)
Step 16600: Accuracy(0.518883329878), Loss(0.00757892468867)
Step 16700: Accuracy(0.514366663049), Loss(0.00761691729771)
Step 16800: Accuracy(0.520333331078), Loss(0.00757975361853)
Step 16900: Accuracy(0.518849996726), Loss(0.00757662397421)
Step 17000: Accuracy(0.519949996521), Loss(0.00754231069935)
Step 17100: Accuracy(0.518999996682), Loss(0.00749609339594)
Step 17200: Accuracy(0.517149997801), Loss(0.00759096984363)
Step 17300: Accuracy(0.517716663579), Loss(0.0075167232876)
Step 17400: Accuracy(0.521266664068), Loss(0.00745396232543)
Step 17500: Accuracy(0.518583329668), Loss(0.00757542713545)
Step 17600: Accuracy(0.523516663164), Loss(0.00753215134221)
Step 17700: Accuracy(0.520083330174), Loss(0.00746709091899)
Step 17800: Accuracy(0.522233330011), Loss(0.0076350777767)
Step 17900: Accuracy(0.518933329433), Loss(0.00746911357312)
Step 18000: Accuracy(0.520483328948), Loss(0.00754137638646)
Step 18100: Accuracy(0.516483328094), Loss(0.00755278462622)
Step 18200: Accuracy(0.518699996521), Loss(0.00757935821467)
Step 18300: Accuracy(0.519566662957), Loss(0.00751486035374)
Step 18400: Accuracy(0.519583329012), Loss(0.0074889898013)
Step 18500: Accuracy(0.519799995869), Loss(0.00743377053645)
Step 18600: Accuracy(0.520233330329), Loss(0.00751129080076)
Step 18700: Accuracy(0.523816663176), Loss(0.00749222461289)
Step 18800: Accuracy(0.519433330595), Loss(0.00747294610599)
Step 18900: Accuracy(0.524333330989), Loss(0.00751668775842)
Step 19000: Accuracy(0.523499997656), Loss(0.00754358647236)
Step 19100: Accuracy(0.519433330248), Loss(0.00755745572426)
Step 19200: Accuracy(0.515733329703), Loss(0.00753048850534)
Step 19300: Accuracy(0.518166663647), Loss(0.00753494731461)
Step 19400: Accuracy(0.517999997089), Loss(0.00753756873853)
Step 19500: Accuracy(0.517799997528), Loss(0.00751819676642)
