===============================================================
arg: 218853 60000 60000 100 0.003
Step 8400: Accuracy(0.535849997302), Loss(0.00723658687978)
Step 8500: Accuracy(0.532916664034), Loss(0.00725846072116)
Step 8600: Accuracy(0.530199997028), Loss(0.00733342412859)
Step 8700: Accuracy(0.530983330061), Loss(0.00726224120629)
Step 8800: Accuracy(0.533416664352), Loss(0.0072591158119)
Step 8900: Accuracy(0.530266663482), Loss(0.00730478387016)
Step 9000: Accuracy(0.530566663394), Loss(0.00733552681437)
Step 9100: Accuracy(0.529033329586), Loss(0.00732888353057)
Step 9200: Accuracy(0.529266663442), Loss(0.00735864926052)
Step 9300: Accuracy(0.531766663243), Loss(0.00741123290733)
Step 9400: Accuracy(0.529933330516), Loss(0.00738400472406)
Step 9500: Accuracy(0.533633330564), Loss(0.00729685297003)
Step 9600: Accuracy(0.530016664416), Loss(0.00730813701249)
Step 9700: Accuracy(0.531333329628), Loss(0.00729622831491)
Step 9800: Accuracy(0.533866663526), Loss(0.00728503540934)
Step 9900: Accuracy(0.52979999582), Loss(0.00736372634458)
